file,line,text,severity,category
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","72","No Playlist Selected","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","74","0 songs","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","76","No Cover","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","143","No Playlist Manager","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","145","0 songs","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","147","No Cover","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","155","No Playlist Selected","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","157","0 songs","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","159","No Cover","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","261","Loading...","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\playlist_page.cpp","266","No Cover","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\search_page.cpp","38","加载中...","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\search_page.cpp","90","无封面","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\page\search_page.cpp","339","请检查网络连接或稍后重试","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\menu_widget.cpp","192","Add new category","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\menu_widget.cpp","217","Add new playlist","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\menu_widget.cpp","780","Delete Failed","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\menu_widget.cpp","834","Delete Failed","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\player_status_bar.cpp","144","Unmute","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\player_status_bar.cpp","150","Mute","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\player_status_bar.cpp","177","Loading...","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\player_status_bar.cpp","188","No Cover","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\player_status_bar.cpp","192","No Cover","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\player_status_bar.cpp","214","Pause","HIGH","UI_SETTER"
"D:\Project\BilibiliPlayer\src\ui\player_status_bar.cpp","216","Play","HIGH","UI_SETTER"
